Ordem;NroProcessoPI;Titular;CNPJ-Titular;CNPJ(ID Alternativo);IFES titular;Qtde de empregados;Natureza do Titular;Tipo do Titular;Tamanho do Titular;Esfera;Região;Seção;Descr.Seção;Divisão;Descr.Divisão;Ano requerimento;Ano 1º TT
108;BR1020150160640;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2015;Não TT
109;BR1020120139430;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2012;Não TT
110;BR1020120201836;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2012;Não TT
111;BR1020130191833;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2013;Não TT
112;BR1020130231070;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2013;Não TT
113;BR1020140095101;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;2018
114;BR1020140178422;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;Não TT
115;BR1020140191275;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;Não TT
116;BR1120170060574;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;Não TT
117;BR2014000349;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;Não TT
118;WO2016044902;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;Não TT
119;BR1020150289430;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2015;Não TT
120;BR1020150289448;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2015;Não TT
121;BR1020150289456;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2015;Não TT
122;BR1020160022240;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
123;BR1020160028639;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
124;BR1020160032121;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
125;BR1020160044863;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
126;BR1020160081858;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
127;BR1020160083052;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
128;BR1020160099927;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
129;BR1020160116449;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
130;BR1020160181801;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
131;BR1020160195241;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
132;BR1020160290627;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
133;BR1020170017745;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2017;Não TT
134;BR1020170030059;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2017;Não TT
135;BR1020170064271;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2017;Não TT
